threshold,final_equity,trade_count,total_turnover,total_fees,return_pct
0.02,1409226.2169079385,1208,176920914.8232677,88460.45741163386,1309.2262169079386
0.05,1462012.6058397398,1168,185636062.477278,92818.031238639,1362.0126058397398
0.1,1422878.3442316419,963,167470797.3462938,83735.3986731469,1322.878344231642
0.15,1263774.134087356,897,148713580.66772336,74356.79033386167,1163.774134087356
0.2,1614015.5320532378,843,165124553.58142054,82562.27679071027,1514.0155320532378
0.25,1470906.4768000087,676,127285255.67413831,63642.62783706916,1370.9064768000087
0.3,1398840.7363456734,486,82046375.38145998,41023.18769072999,1298.8407363456733
0.4,758359.339589332,198,20422724.201261785,10211.362100630893,658.3593395893321
