transition,n,avg7d
C->Bull,158,0.4087294896005183
C->Bear,141,0.3136697803758004
Bull->C,153,-0.5558435380587572
Bull->Bear,16,-2.6635052698393
Bear->C,146,0.7665145029758106
Bear->Bull,12,0.011941425244185566
