group,mean_return_7d,mean_return_30d,mean_return_90d,win_rate_7d,win_rate_30d,win_rate_90d,samples_7d,samples_30d,samples_90d
All,0.009453310270118661,0.04132136605122557,0.15265445353788962,0.5324039829302987,0.5409760853357802,0.5503308543655209,17575,17437,17077
Bear,0.008595103709099805,0.037597753106985626,0.08002802464473126,0.5452755905511811,0.526809982703237,0.5104645227156712,4064,4047,3918
Bull,0.02033601316404804,0.06814017936721585,0.21089297837327406,0.5432334820480136,0.5884738527214515,0.583530933390817,4707,4685,4639
Consolidation,0.004031100926894566,0.02861870335161897,0.15434246195244902,0.5206724216265334,0.5219988512349225,0.5505868544600939,8804,8705,8520
