datetime,signal_datetime,trigger,trigger_type,signal_regime,signal_transition,desired_weight,scheduled_target_weight,side,exec_price,trade_notional,btc_delta,fee_paid,pre_trade_equity,pre_trade_weight
2021-04-14 12:00:00+08:00,2021-04-14 08:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.85,BUY,63812.93919,36990.41987276042,0.579669583352417,18.495209936380213,156393.3600127678,0.6134783224189279
2021-04-17 08:00:00+08:00,2021-04-17 04:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5950774092516161,SELL,61273.47519,37826.16318050328,-0.6173334067181588,18.91308159025164,151304.6527220131,0.8450774092516161
2021-04-19 08:00:00+08:00,2021-04-19 04:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.3236021615658492,SELL,56093.859990000004,35909.98439146072,-0.6401767394481764,17.95499219573036,143639.9375658429,0.5736021615658492
2021-04-28 00:00:00+08:00,2021-04-27 20:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5688897560585783,BUY,55036.84185999999,35654.943217426924,0.6478377394568572,17.827471608713463,142619.7728697077,0.3188897560585783
2021-04-29 08:00:00+08:00,2021-04-29 04:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.818247254923701,BUY,54901.07623,35591.56154887835,0.6482853159339305,17.795780774439176,142366.2461955134,0.568247254923701
2021-04-30 16:00:00+08:00,2021-04-30 12:00:00+08:00,Bull -> Consolidation,transition,Consolidation,Bull -> Consolidation,0.35,0.5669299613581097,SELL,54288.76689,35311.158045431745,-0.6504321256177964,17.655579022715873,141244.632181727,0.8169299613581097
2021-05-02 00:00:00+08:00,2021-05-01 20:00:00+08:00,Bull,regime,Bull,Bull,0.9,0.8300925204938914,BUY,57413.94658999999,36407.52172943122,0.6341233078684135,18.20376086471561,145630.08691772487,0.5800925204938914
2021-05-05 20:00:00+08:00,2021-05-05 16:00:00+08:00,Bull -> Bear,transition,Bear,Bull -> Bear,0.15,0.5744427749378137,SELL,55053.841049999995,35209.93972025807,-0.6395546441215672,17.604969860129035,140839.75888103232,0.8244427749378137
2021-05-07 04:00:00+08:00,2021-05-07 00:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.32888289312159247,SELL,56072.29158,35570.73021927835,-0.6343726859910575,17.785365109639176,142282.92087711344,0.5788828931215925
2021-05-07 20:00:00+08:00,2021-05-07 16:00:00+08:00,Bear -> Consolidation,transition,Consolidation,Bear -> Consolidation,0.6,0.5800756907078756,BUY,56521.204739999994,35627.4266838545,0.6303373547634418,17.81371334192725,142509.706735418,0.33007569070787557
2021-05-09 08:00:00+08:00,2021-05-09 04:00:00+08:00,Consolidation -> Bull,transition,Bull,Consolidation -> Bull,0.85,0.840136911964307,BUY,58925.39652999999,36491.13460160003,0.6192768610903064,18.245567300800015,145964.53840640016,0.590136911964307
2021-05-10 16:00:00+08:00,2021-05-10 12:00:00+08:00,Consolidation,regime,Consolidation,Consolidation,0.55,0.589069075004866,SELL,58311.799829999996,36220.65847001725,-0.6211548704655591,18.110329235008628,144882.63388006904,0.839069075004866
2021-05-12 00:00:00+08:00,2021-05-11 20:00:00+08:00,Consolidation -> Bear,transition,Bear,Consolidation -> Bear,0.2,0.3291992557631481,SELL,55996.77717,35360.348836106394,-0.6314711421472757,17.6801744180532,141441.39534442557,0.5791992557631481
2021-06-04 08:00:00+08:00,2021-06-04 04:00:00+08:00,Bear -> Bull,transition,Bull,Bear -> Bull,1.0,0.5056298919063762,BUY,39286.02677999999,31859.59244503614,0.8109649933155227,15.929796222518071,127438.3697801446,0.25562989190637625
2021-06-05 16:00:00+08:00,2021-06-05 12:00:00+08:00,Bear,regime,Bear,Bear,0.2,0.24473488049875342,SELL,37544.547869999995,31164.723437389064,-0.8300732118362055,15.582361718694532,124658.89374955627,0.4947348804987534
