group,from_regime,to_regime,mean_return_7d,mean_return_30d,mean_return_90d,win_rate_7d,win_rate_30d,win_rate_90d,samples_7d,samples_30d,samples_90d
Consolidation -> Bull,Consolidation,Bull,0.013558161366890737,0.043963906495815504,0.17871181396630742,0.5541125541125541,0.5152838427947598,0.545045045045045,231,229,222
Consolidation -> Bear,Consolidation,Bear,0.00353383793276183,0.031168540383608282,0.10804309586263686,0.5181818181818182,0.5092592592592593,0.5145631067961165,220,216,206
Bull -> Consolidation,Bull,Consolidation,-0.0060493316952161405,0.02042360038262372,0.15296168101914243,0.45701357466063347,0.4772727272727273,0.5446009389671361,221,220,213
Bull -> Bear,Bull,Bear,0.00575551989605414,0.08621006442665008,0.13350877934121672,0.5294117647058824,0.6470588235294118,0.5098039215686274,51,51,51
Bear -> Consolidation,Bear,Consolidation,0.01633071644260548,0.04285345406669978,0.11885933334532063,0.5869565217391305,0.5973451327433629,0.5,230,226,216
Bear -> Bull,Bear,Bull,0.019382300630008314,0.10321110109243478,0.12679841802029448,0.5,0.6428571428571429,0.6428571428571429,42,42,42
