strategy_id,stage,strategy_preset,bull_weight,consolidation_weight,bear_weight,min_regime_bars,rebalance_threshold,max_weight_step,transition_cooldown_bars,final_equity_regime,final_equity_buy_hold,excess_final_equity,cagr_regime,cagr_buy_hold,excess_cagr,total_return_regime,total_return_buy_hold,max_drawdown_regime,max_drawdown_buy_hold,sharpe_regime,sharpe_buy_hold,trade_count,annual_trade_count,transition_triggered_trade_count,total_turnover,turnover_to_initial_cash,total_fees_paid,avg_spot_weight,years,beats_buy_hold,drawdown_not_worse,risk_overlay,scenario,start_date,end_date
custom_weights_b0.75_c0.25_r0.35_m24_th0.20_step0.25_cool0,full_2021,custom_weights,0.75,0.25,0.35,24,0.2,0.25,0,290097.08827855164,262436.14139885246,27660.946879699186,0.2227991290295459,0.1998751594869499,0.022923969542596012,1.9009708827855163,1.6243614139885247,-0.38622366930139684,-0.7704339319608702,0.9013564921624482,0.6038400696741937,93,17.563815108658158,0,5006389.02010861,50.0638902010861,2503.194510054305,0.3792261842880623,5.294977168949772,True,True,False,full_2021,2021-01-01,2026-04-19
custom_weights_b0.75_c0.25_r0.35_m24_th0.20_step0.25_cool0,post_cycle_2022,custom_weights,0.75,0.25,0.35,24,0.2,0.25,0,148964.3917312683,165845.62113423028,-16881.229402961995,0.09723287084275589,0.12500307182200965,-0.027770200979253756,0.489643917312683,0.6584562113423029,-0.299328252354752,-0.6721392902034937,0.5438175367994833,0.48567646938087033,74,17.229428024665108,0,2225470.2669908875,22.254702669908873,1112.7351334954437,0.3698724238207128,4.294977168949772,False,True,True,post_cycle_2022,2022-01-01,2026-04-19
custom_weights_b0.75_c0.25_r0.35_m24_th0.20_step0.25_cool0,recent_bull_2023,custom_weights,0.75,0.25,0.35,24,0.2,0.25,0,206295.1733555024,457680.8041452879,-251385.6307897855,0.2457904325057556,0.5866299663913215,-0.34083953388556587,1.0629517335550238,3.576808041452879,-0.23410041913169088,-0.4983697178895503,1.1647645994089988,1.227415699061712,66,20.03048780487805,0,2821505.4927969263,28.215054927969263,1410.7527463984632,0.3728521654606774,3.2949771689497718,False,True,True,recent_bull_2023,2023-01-01,2026-04-19
custom_weights_b0.75_c0.25_r0.35_m24_th0.20_step0.25_cool0,holdout_2024,custom_weights,0.75,0.25,0.35,24,0.2,0.25,0,122086.54639858118,139570.3407309309,-17483.79433234973,0.1324348680546248,0.23094367932758786,-0.09850881127296307,0.22086546398581186,0.3957034073093091,-0.1840416713120825,-0.4983697178895503,0.8367977085825843,0.6825351328922413,31,19.319863403528743,0,959656.0837520049,9.596560837520048,479.82804187600266,0.3065890990432735,1.6045662100456621,False,True,True,holdout_2024,2024-09-09 00:00,2026-04-19
